Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
名称,地区,薪资,公司,工作要求,经验,学历,公司领域,公司规模,HR
WEB前端工程师,深圳-南山区,急聘,赛尔网络,"HTML5,CSS,Javascript",3-5年,统招本科,IT服务,500-999人,"陈女士,人力资源经理"
数字IC设计工程师,深圳-南山区,急聘,敦泰科技,"Verilog,FPGA,SOC系统",3-5年,统招本科,电子/半导体/集成电路,500-999人,冯女士
IC设计工程师,广州,急聘,广东省新一代通信与网络创新研究院,,1-3年,硕士,政府/公共事业,500-999人,"胡女士,HR"
AI前端工程师（可远程）,深圳-南山区,10-25k,vika维格,"Javascript,LangChain,SQL,前端开发,React,人工智能领域,大数据领域",3-5年,统招本科,云计算/大数据,50-99人,"陈女士,人事主管"
YF11--高级数字前端工程师,北京-朝阳区,30-60k,广东省大湾区集成电路与系统应用研究院,,1-3年,硕士,电子/半导体/集成电路,50-99人,"梁先生,HR"
YF11--高级数字前端工程师,广州-黄埔区,30-60k,广东省大湾区集成电路与系统应用研究院,模拟芯片设计,1-3年,硕士,电子/半导体/集成电路,50-99人,"梁先生,HR"
芯片前端工程师,苏州-工业园区,17-40k·16薪,ramaxel,,5-10年,本科,计算机硬件,50-99人,"龙女士,招聘HR"
前端工程师—简历分析,广州-天河区,5-10k,广州小滴生物科技有限公司,"HTML,CSS,Javascript",经验不限,学历不限,科技推广服务,50-99人,"刘先生,经理"
数字前端高级工程师(J10229),大连-甘井子区,25-40k·16薪,芯动科技,"数字IC设计,verilog,GPU,RTL,FPGA,ASIC",3-5年,本科,电子/半导体/集成电路,50-99人,"白女士,大连运营副总"
资深数字设计工程师,成都-高新区,35-60k·14薪,小华半导体有限公司,,5-10年,本科,电子/半导体/集成电路,50-99人,梁女士
高级React前端工程师,杭州-滨江区,15-30k·13薪,浙江天垂科技有限公司,"界面开发,PostCSS,React,前端开发,GraphQL,Less,Sass,TypeScript,ECMAScript 6,ECMAScript",经验不限,统招本科,IT服务,50-99人,"张女士,招聘顾问"
前端软件工程师(高级),深圳-南山区,20-30k,上海睿沃信息科技有限公司,"前端开发,云计算领域,CSS,Javascript,HTML",5-10年,本科,计算机软件,100-499人,"何先生,人事经理"
高级前端工程师,西安-高新区,8-15k,西安咸林能源科技有限公司,"框架开发,框架设计",5-10年,统招本科,新能源,1000-2000人,"裴先生,技术研究中心总监"
web前端工程师,广州-番禺区,7-11k,广州贝帮信息科技有限公司,"javascript,css,前端开发,react,jquery,html,bootstrap,ios,npm",3-5年,本科,咨询服务,5000-10000人,"冯先生,人事"
高级数字IC设计工程师,成都-高新区,50-80k·14薪,笔特科技,,5-10年,本科,电子/半导体/集成电路,5000-10000人,"黄女士,招聘主管"
web前端工程师,北京-朝阳区,9-12k,郑州三友软件科技有限公司,"css,前端开发,react,vue,jquery",1-3年,统招本科,计算机软件,100-499人,"邢先生,人力资源总监"
芯片设计/数字前端工程师,武汉-洪山区,20-40k·15薪,某武汉电子/半导体/集成电路公司,"芯片流片经验,数字后端设计",3-5年,硕士,电子/半导体/集成电路,100-499人,"方女士,猎头顾问"
